Round,Name
7,Wawrinka
6,Nadal
5,Federer
5,Berdych
4,Dimitrov
4,Murray
4,Djokovic
4,Ferrer
3,Robert
3,Nishikori
3,Tsonga
3,Bautista-Agut
3,Fognini
3,Robredo
3,Anderson
3,Mayer
2,Paire
2,Gabashvili
2,Lopez
2,Raonic
2,Young
1,Simon
2,Klizan
2,Monfils
2,Roger-Vasselin
2,Gasquet
1,Chardy
2,Dzumhur
2,Janowicz
2,Istomin
2,Querrey
1,Seppi
1,Kokkinakis
1,Verdasco
1,Przysiezny
1,Potro
1,Bellucci
1,Cilic
1,Sock
1,Rola
1,Kavcic
1,Kyrgios
1,Lu
1,Berrer
1,Millot
1,Hanescu
1,Lajovic
1,Youzhny
2,Pospisil
1,Ebden
1,Andujar
1,Schepper
1,Gulbis
1,Mayer
1,Thiem
1,Falla
1,Mannarino
1,Benneteau
1,Nieminen
1,Tursunov
1,Garcia-Lopez
1,Dolgopolov
1,Dodig
1,Davydenko
0,Tomic
0,Duckworth
0,Stakhovsky
0,Devvarman
0,Harrison
0,Granollers
0,Isner
0,Kamke
0,Odesnik
0,Sijsling
0,Zhang
0,Gojowczyk
0,Bedene
0,Smyczek
0,Volandri
0,Williams
0,Haase
0,Stepanek
0,Hewitt
0,Reister
0,Matosevic
0,Wang
0,Gimeno-Traver
0,Klahn
0,Dancevic
0,Pouille
0,Delbonis
0,Becker
0,Zeballos
0,Soeda
0,Llodra
0,Gonzalez
0,Sela
0,Kubot
0,Russell
0,Carreno-Busta
0,Berlocq
0,Rosol
0,Guez
0,Nedovesov
0,Kudla
0,Haas
0,Golubev
0,Kukushkin
0,Ramos
0,Baghdatis
0,Bogomolov
0,Lacko
0,Struff
0,Vesely
0,Monaco
0,Berankis
0,Montanes
0,Wu
0,Johnson
0,Groth
0,Mahut
0,Sousa
0,Thompson
0,Hajek
0,Karlovic
0,Giraldo
