player_name,type,matches,events
Federer,WinEvent,7,290
Federer,ErrorEvent,7,169
Federer,DoubleEvent,7,8
Federer,AceEvent,7,53
Gonzalez,WinEvent,7,338
Gonzalez,ErrorEvent,7,158
Gonzalez,DoubleEvent,7,12
Gonzalez,AceEvent,7,91
Haas,WinEvent,6,245
Haas,ErrorEvent,6,161
Haas,DoubleEvent,6,21
Haas,AceEvent,6,66
Roddick,WinEvent,6,221
Roddick,ErrorEvent,6,119
Roddick,DoubleEvent,6,11
Roddick,AceEvent,6,75
Davydenko,WinEvent,5,214
Davydenko,ErrorEvent,5,167
Davydenko,DoubleEvent,5,15
Davydenko,AceEvent,5,38
Nadal,WinEvent,5,154
Nadal,ErrorEvent,5,115
Nadal,DoubleEvent,5,14
Nadal,AceEvent,5,18
Robredo,WinEvent,5,178
Robredo,ErrorEvent,5,116
Robredo,DoubleEvent,5,10
Robredo,AceEvent,5,45
Fish,WinEvent,5,188
Fish,ErrorEvent,5,158
Fish,DoubleEvent,5,14
Fish,AceEvent,5,60
Nalbandian,WinEvent,4,206
Nalbandian,ErrorEvent,4,155
Nalbandian,DoubleEvent,4,24
Nalbandian,AceEvent,4,47
Berdych,WinEvent,4,118
Berdych,ErrorEvent,4,126
Berdych,DoubleEvent,4,16
Berdych,AceEvent,4,28
Blake,WinEvent,4,156
Blake,ErrorEvent,4,104
Blake,DoubleEvent,4,11
Blake,AceEvent,4,42
Murray,WinEvent,4,155
Murray,ErrorEvent,4,134
Murray,DoubleEvent,4,14
Murray,AceEvent,4,31
Gasquet,WinEvent,4,137
Gasquet,ErrorEvent,4,100
Gasquet,DoubleEvent,4,8
Gasquet,AceEvent,4,16
Ferrer,WinEvent,4,139
Ferrer,ErrorEvent,4,152
Ferrer,DoubleEvent,4,6
Ferrer,AceEvent,4,19
Djokovic,WinEvent,4,136
Djokovic,ErrorEvent,4,122
Djokovic,DoubleEvent,4,5
Djokovic,AceEvent,4,35
Ancic,WinEvent,4,157
Ancic,ErrorEvent,4,116
Ancic,DoubleEvent,4,10
Ancic,AceEvent,4,49
Mayer,WinEvent,3,98
Mayer,ErrorEvent,3,107
Mayer,DoubleEvent,3,7
Mayer,AceEvent,3,30
Tursunov,WinEvent,3,116
Tursunov,ErrorEvent,3,69
Tursunov,DoubleEvent,3,18
Tursunov,AceEvent,3,40
Ginepri,WinEvent,3,124
Ginepri,ErrorEvent,3,114
Ginepri,DoubleEvent,3,5
Ginepri,AceEvent,3,30
Grosjean,WinEvent,3,157
Grosjean,ErrorEvent,3,113
Grosjean,DoubleEvent,3,4
Grosjean,AceEvent,3,42
Santoro,WinEvent,3,106
