player_name,type,matches,events
Djokovic,WinEvent,7,280
Djokovic,ErrorEvent,7,218
Djokovic,DoubleEvent,7,13
Djokovic,AceEvent,7,54
Murray,WinEvent,7,232
Murray,ErrorEvent,7,208
Murray,DoubleEvent,7,7
Murray,AceEvent,7,78
Federer,WinEvent,6,232
Federer,ErrorEvent,6,199
Federer,DoubleEvent,6,12
Federer,AceEvent,6,48
Ferrer,WinEvent,6,155
Ferrer,ErrorEvent,6,178
Ferrer,DoubleEvent,6,10
Ferrer,AceEvent,6,33
Chardy,WinEvent,5,216
Chardy,ErrorEvent,5,184
Chardy,DoubleEvent,5,34
Chardy,AceEvent,5,65
Tsonga,WinEvent,5,230
Tsonga,ErrorEvent,5,172
Tsonga,DoubleEvent,5,8
Tsonga,AceEvent,5,65
Berdych,WinEvent,5,171
Berdych,ErrorEvent,5,151
Berdych,DoubleEvent,5,12
Berdych,AceEvent,5,39
Almagro,WinEvent,5,197
Almagro,ErrorEvent,5,171
Almagro,DoubleEvent,5,13
Almagro,AceEvent,5,83
Raonic,WinEvent,4,156
Raonic,ErrorEvent,4,135
Raonic,DoubleEvent,4,17
Raonic,AceEvent,4,90
Seppi,WinEvent,4,95
Seppi,ErrorEvent,4,117
Seppi,DoubleEvent,4,15
Seppi,AceEvent,4,40
Gasquet,WinEvent,4,166
Gasquet,ErrorEvent,4,98
Gasquet,DoubleEvent,4,6
Gasquet,AceEvent,4,43
Simon,WinEvent,4,141
Simon,ErrorEvent,4,215
Simon,DoubleEvent,4,18
Simon,AceEvent,4,21
Nishikori,WinEvent,4,152
Nishikori,ErrorEvent,4,179
Nishikori,DoubleEvent,4,12
Nishikori,AceEvent,4,20
Anderson,WinEvent,4,187
Anderson,ErrorEvent,4,152
Anderson,DoubleEvent,4,9
Anderson,AceEvent,4,48
Tipsarevic,WinEvent,4,151
Tipsarevic,ErrorEvent,4,150
Tipsarevic,DoubleEvent,4,5
Tipsarevic,AceEvent,4,44
Wawrinka,WinEvent,4,151
Wawrinka,ErrorEvent,4,176
Wawrinka,DoubleEvent,4,12
Wawrinka,AceEvent,4,43
Monfils,WinEvent,3,164
Monfils,ErrorEvent,3,223
Monfils,DoubleEvent,3,50
Monfils,AceEvent,3,64
Tomic,WinEvent,3,129
Tomic,ErrorEvent,3,90
Tomic,DoubleEvent,3,5
Tomic,AceEvent,3,40
Kohlschreiber,WinEvent,3,84
