Round,Name
7,Djokovic
6,Tsonga
5,Federer
5,Nadal
4,Ferrer
4,Blake
4,Youzhny
4,Nieminen
3,Berdych
3,Ferrero
3,Hewitt
3,Cilic
3,Kohlschreiber
3,Mathieu
3,Davydenko
3,Gasquet
2,Spadea
2,Nalbandian
2,Baghdatis
2,Grosjean
2,Querrey
2,Tipsarevic
2,Gonzalez
2,Monaco
2,Gicquel
2,Fish
2,Simon
2,Andreev
2,Garcia-Lopez
2,Roddick
2,Koubek
2,Karlovic
1,Jones
1,Tursunov
1,Safin
1,Gremelmayr
1,Melzer
1,Verdasco
1,Russell
1,Luczak
1,Hernandez
1,Lee
1,Istomin
1,Delic
1,Haase
1,Potro
1,Santoro
1,Bolelli
0,Wawrinka
1,Mahut
1,Capdeville
1,Sela
1,Falla
1,Warburg
1,Serra
1,Vliegen
1,Berrer
1,Korolev
1,Lopez
1,Seppi
1,Schuettler
1,Calleri
1,Robredo
1,Levine
0,Almagro
0,Montanes
0,Becker
0,Ram
0,Sirianni
0,Guccione
0,Volandri
0,Vanek
0,Ascione
0,Ventura
0,Zabaleta
0,Stepanek
0,Johansson
0,Rochus
0,Smeets
0,Gulbis
0,Ljubicic
0,Isner
0,Minar
0,Eschauer
0,Lacko
0,Roger-Vasselin
0,Roitman
0,Darcis
0,Economidis
0,Hartfield
0,Berlocq
0,Massu
0,Fognini
0,Malisse
0,Kiefer
0,Kendrick
0,Karanusic
0,Llodra
0,Odesnik
0,Slanar
0,Dancevic
0,Acasuso
0,Lu
0,Pashanski
0,Baker
0,Mayer
0,Troicki
0,Moya
0,Levy
0,Reynolds
0,Anderson
0,Chela
0,Granollers
0,Murray
0,Hanescu
0,Horna
0,Clement
0,Patience
0,Brzezicki
0,Young
0,Montcourt
0,Arguello
0,Lindahl
0,Pavel
0,Dlouhy
0,Klein
0,Zverev
