Round,Name
7,Djokovic
6,Nadal
5,Murray
4,Federer
4,Ferrer
4,Nishikori
4,Potro
4,Berdych
3,Hewitt
3,Gasquet
3,Kukushkin
3,Tsonga
3,Kohlschreiber
3,Tomic
3,Almagro
3,Lopez
2,Mahut
2,Raonic
2,Tipsarevic
2,Chela
2,Llodra
2,Monfils
2,Benneteau
2,Gil
2,Falla
2,Lu
2,Dolgopolov
2,Karlovic
2,Anderson
2,Wawrinka
2,Isner
2,Lacko
1,Giraldo
1,Ito
1,Petzschner
1,Roddick
1,Duckworth
1,Golubev
1,Andujar
1,Sweeting
1,Roger-Vasselin
1,Bogomolov
1,Troicki
1,Bellucci
1,Simon
1,Ebden
1,Granollers
1,Mello
1,Fish
1,Riba
1,Serra
1,Kavcic
1,Kamke
1,Querrey
1,Berlocq
1,Rochus
1,Stakhovsky
1,Baghdatis
1,Dimitrov
1,Nalbandian
1,Cipolla
1,Young
1,Haas
0,Lorenzi
0,Viola
0,Starace
0,Stepanek
0,Volandri
0,Rosol
0,Stebe
0,Haase
0,Tursunov
0,Zopp
0,Youzhny
0,Seppi
0,Russell
0,Kunitsyn
0,Bachinger
0,Machado
0,Harrison
0,Malisse
0,Gulbis
0,Gimeno-Traver
0,Ferrero
0,Garcia-Lopez
0,Sela
0,Matosevic
0,Udomchoke
0,Beck
0,Souza
0,Robert
0,Levine
0,Dodig
0,Bautista-Agut
0,Istomin
0,Muller
0,Fognini
0,Montanes
0,Monaco
0,Voest
0,Darcis
0,Ward
0,Mannarino
0,Jones
0,Hanescu
0,Schepper
0,Verdasco
0,Melzer
0,Galung
1,Beck
0,Prodon
0,Kudryavtsev
0,Ramos
0,Phau
0,Marchenko
0,Nielsen
0,Paire
0,Becker
0,Chardy
0,Kubot
0,Mitchell
0,Nieminen
0,Davydenko
0,Mayer
0,Ljubicic
0,Gojowczyk
0,Kudla
0,Kuznetsov
