Round,Name
7,Federer
6,Safin
5,Ferrero
5,Agassi
4,Arazi
4,Nalbandian
4,Grosjean
4,Roddick
3,Philippoussis
3,Hewitt
3,Canas
3,Pavel
3,Srichaphan
3,Blake
3,Schalken
3,Ginepri
2,Reid
2,Costa
2,Novak
2,Henman
2,Ferreira
2,Johansson
2,Nadal
2,Ancic
2,Patience
2,Escude
2,Enqvist
2,Martin
2,Kuerten
2,Melzer
2,Hrbaty
2,Dent
1,Saulnier
1,Sargsian
1,Corretja
1,Santoro
1,Ascione
1,Morrison
1,Stepanek
1,Arthurs
1,Calleri
1,Mayer
1,Vacek
1,Sanchez-Munoz
1,Martin
1,Weiner
1,Volandri
1,Kucera
1,Blanco
1,Davydenko
1,Ulihrach
1,Guccione
1,Chela
1,Golmard
1,Lapentti
1,Ljubicic
1,Gaudio
1,Ferrer
1,Karlovic
1,Nieminen
1,Berdych
1,Soderling
1,Beck
1,Gambill
0,Verkerk
0,Kiefer
0,Kutsenko
0,Mantilla
0,Sluiter
0,Gasquet
0,Mello
0,Mutis
0,Mirnyi
0,Sanguinetti
0,Ramirez-Hidalgo
0,Scheppingen
0,Bjorkman
0,Salzenstein
0,Lopez
0,Hanescu
0,Bogomolov
0,Johansson
0,Lisnard
0,Montanes
0,Rochus
0,Tabara
0,Moodie
0,Popp
0,Coria
0,Malisse
0,Luczak
0,Chaunac
0,Karanusic
0,Rochus
0,Mamiit
0,Rusedski
0,Lottum
0,Larkham
0,Gonzalez
0,Fish
0,Mahut
0,Burgsmuller
0,Behrend
0,Portas
0,Verdasco
0,Youzhny
0,Robredo
0,Lee
0,Dupuis
0,Hernandez
0,Carlsen
0,Aynaoui
0,Acasuso
0,Saretta
0,Carraz
0,Schuettler
0,Spadea
0,Vahaly
0,Jones
0,Massu
0,Tursunov
0,Muller
0,Koubek
0,Andreev
0,Clement
0,Horna
0,Miranda
0,Labadze
