player_name,type,matches,events
Djokovic,WinEvent,7,256
Djokovic,ErrorEvent,7,203
Djokovic,DoubleEvent,7,25
Djokovic,AceEvent,7,67
Tsonga,WinEvent,7,360
Tsonga,ErrorEvent,7,251
Tsonga,DoubleEvent,7,13
Tsonga,AceEvent,7,100
Federer,WinEvent,6,316
Federer,ErrorEvent,6,169
Federer,DoubleEvent,6,6
Federer,AceEvent,6,91
Nadal,WinEvent,6,153
Nadal,ErrorEvent,6,98
Nadal,DoubleEvent,6,13
Nadal,AceEvent,6,30
Ferrer,WinEvent,5,142
Ferrer,ErrorEvent,5,119
Ferrer,DoubleEvent,5,9
Ferrer,AceEvent,5,19
Blake,WinEvent,5,180
Blake,ErrorEvent,5,132
Blake,DoubleEvent,5,13
Blake,AceEvent,5,42
Youzhny,WinEvent,5,145
Youzhny,ErrorEvent,5,162
Youzhny,DoubleEvent,5,14
Youzhny,AceEvent,5,23
Nieminen,WinEvent,5,135
Nieminen,ErrorEvent,5,129
Nieminen,DoubleEvent,5,19
Nieminen,AceEvent,5,21
Berdych,WinEvent,4,119
Berdych,ErrorEvent,4,92
Berdych,DoubleEvent,4,17
Berdych,AceEvent,4,41
Ferrero,WinEvent,4,130
Ferrero,ErrorEvent,4,121
Ferrero,DoubleEvent,4,12
Ferrero,AceEvent,4,31
Hewitt,WinEvent,4,154
Hewitt,ErrorEvent,4,141
Hewitt,DoubleEvent,4,18
Hewitt,AceEvent,4,43
Cilic,WinEvent,4,88
Cilic,ErrorEvent,4,80
Cilic,DoubleEvent,4,10
Cilic,AceEvent,4,43
Kohlschreiber,WinEvent,4,82
Kohlschreiber,ErrorEvent,4,93
Kohlschreiber,DoubleEvent,4,10
Kohlschreiber,AceEvent,4,19
Mathieu,WinEvent,4,114
Mathieu,ErrorEvent,4,98
Mathieu,DoubleEvent,4,20
Mathieu,AceEvent,4,31
Davydenko,WinEvent,4,102
Davydenko,ErrorEvent,4,117
Davydenko,DoubleEvent,4,8
Davydenko,AceEvent,4,8
Gasquet,WinEvent,4,173
Gasquet,ErrorEvent,4,111
Gasquet,DoubleEvent,4,11
Gasquet,AceEvent,4,35
Spadea,WinEvent,3,23
Spadea,ErrorEvent,3,27
Spadea,DoubleEvent,3,16
Spadea,AceEvent,3,8
Nalbandian,WinEvent,3,87
Nalbandian,ErrorEvent,3,94
Nalbandian,DoubleEvent,3,14
Nalbandian,AceEvent,3,26
Baghdatis,WinEvent,3,161
Baghdatis,ErrorEvent,3,173
Baghdatis,DoubleEvent,3,16
Baghdatis,AceEvent,3,48
Grosjean,WinEvent,3,99
Grosjean,ErrorEvent,3,89
Grosjean,DoubleEvent,3,4
Grosjean,AceEvent,3,15
Querrey,WinEvent,3,61
Querrey,ErrorEvent,3,65
Querrey,DoubleEvent,3,16
Querrey,AceEvent,3,42
Tipsarevic,WinEvent,3,139
Tipsarevic,ErrorEvent,3,120
Tipsarevic,DoubleEvent,3,13
Tipsarevic,AceEvent,3,47
Gonzalez,WinEvent,3,125
Gonzalez,ErrorEvent,3,105
Gonzalez,DoubleEvent,3,15
Gonzalez,AceEvent,3,27
Monaco,WinEvent,3,76
Monaco,ErrorEvent,3,53
Monaco,DoubleEvent,3,11
Monaco,AceEvent,3,20
Gicquel,WinEvent,3,29
Gicquel,ErrorEvent,3,52
Gicquel,DoubleEvent,3,11
Gicquel,AceEvent,3,23
Fish,WinEvent,3,95
Fish,ErrorEvent,3,84
Fish,DoubleEvent,3,10
Fish,AceEvent,3,29
Simon,WinEvent,3,38
Simon,ErrorEvent,3,48
Simon,DoubleEvent,3,8
Simon,AceEvent,3,19
Andreev,WinEvent,3,25
Andreev,ErrorEvent,3,31
Andreev,DoubleEvent,3,10
Andreev,AceEvent,3,11
Garcia-Lopez,WinEvent,3,20
Garcia-Lopez,ErrorEvent,3,25
Garcia-Lopez,DoubleEvent,3,17
Garcia-Lopez,AceEvent,3,12
Roddick,WinEvent,3,62
Roddick,ErrorEvent,3,23
Roddick,DoubleEvent,3,3
Roddick,AceEvent,3,23
Koubek,WinEvent,3,135
Koubek,ErrorEvent,3,119
Koubek,DoubleEvent,3,18
Koubek,AceEvent,3,26
Karlovic,WinEvent,3,19
Karlovic,ErrorEvent,3,42
Karlovic,DoubleEvent,3,6
Karlovic,AceEvent,3,45
Jones,WinEvent,2,22
Jones,ErrorEvent,2,41
Jones,DoubleEvent,2,4
Jones,AceEvent,2,8
Tursunov,WinEvent,2,44
Tursunov,ErrorEvent,2,62
Tursunov,DoubleEvent,2,8
Tursunov,AceEvent,2,22
Safin,WinEvent,2,55
Safin,ErrorEvent,2,84
Safin,DoubleEvent,2,1
Safin,AceEvent,2,18
Gremelmayr,WinEvent,2,0
Gremelmayr,ErrorEvent,2,0
Gremelmayr,DoubleEvent,2,6
Gremelmayr,AceEvent,2,15
Melzer,WinEvent,2,0
Melzer,ErrorEvent,2,0
Melzer,DoubleEvent,2,4
Melzer,AceEvent,2,17
Verdasco,WinEvent,2,59
Verdasco,ErrorEvent,2,44
Verdasco,DoubleEvent,2,8
Verdasco,AceEvent,2,19
Russell,WinEvent,2,13
Russell,ErrorEvent,2,24
Russell,DoubleEvent,2,5
Russell,AceEvent,2,8
Luczak,WinEvent,2,92
Luczak,ErrorEvent,2,77
Luczak,DoubleEvent,2,10
Luczak,AceEvent,2,27
Hernandez,WinEvent,2,10
Hernandez,ErrorEvent,2,19
Hernandez,DoubleEvent,2,6
Hernandez,AceEvent,2,11
Lee,WinEvent,2,77
Lee,ErrorEvent,2,48
Lee,DoubleEvent,2,4
Lee,AceEvent,2,12
Istomin,WinEvent,2,52
Istomin,ErrorEvent,2,42
Istomin,DoubleEvent,2,4
Istomin,AceEvent,2,14
Delic,WinEvent,2,0
Delic,ErrorEvent,2,0
Delic,DoubleEvent,2,16
Delic,AceEvent,2,25
Haase,WinEvent,2,50
Haase,ErrorEvent,2,57
Haase,DoubleEvent,2,12
Haase,AceEvent,2,21
Potro,WinEvent,2,22
Potro,ErrorEvent,2,43
Potro,DoubleEvent,2,4
Potro,AceEvent,2,3
Santoro,WinEvent,2,11
Santoro,ErrorEvent,2,4
Santoro,DoubleEvent,2,0
Santoro,AceEvent,2,5
Bolelli,WinEvent,2,16
Bolelli,ErrorEvent,2,39
Bolelli,DoubleEvent,2,4
Bolelli,AceEvent,2,14
Wawrinka,WinEvent,1,0
Wawrinka,ErrorEvent,1,0
Wawrinka,DoubleEvent,1,3
Wawrinka,AceEvent,1,9
Mahut,WinEvent,2,20
Mahut,ErrorEvent,2,42
Mahut,DoubleEvent,2,16
Mahut,AceEvent,2,15
Capdeville,WinEvent,2,85
Capdeville,ErrorEvent,2,54
Capdeville,DoubleEvent,2,3
Capdeville,AceEvent,2,7
Sela,WinEvent,2,0
Sela,ErrorEvent,2,0
Sela,DoubleEvent,2,4
Sela,AceEvent,2,1
Falla,WinEvent,2,0
Falla,ErrorEvent,2,0
Falla,DoubleEvent,2,11
Falla,AceEvent,2,9
Warburg,WinEvent,2,22
Warburg,ErrorEvent,2,25
Warburg,DoubleEvent,2,6
