player_name,type,matches,events
Federer,WinEvent,7,282
Federer,ErrorEvent,7,215
Federer,DoubleEvent,7,18
Federer,AceEvent,7,76
Safin,WinEvent,7,383
Safin,ErrorEvent,7,310
Safin,DoubleEvent,7,17
Safin,AceEvent,7,126
Ferrero,WinEvent,6,204
Ferrero,ErrorEvent,6,177
Ferrero,DoubleEvent,6,19
Ferrero,AceEvent,6,59
Agassi,WinEvent,6,164
Agassi,ErrorEvent,6,133
Agassi,DoubleEvent,6,12
Agassi,AceEvent,6,43
Arazi,WinEvent,5,181
Arazi,ErrorEvent,5,151
Arazi,DoubleEvent,5,8
Arazi,AceEvent,5,41
Nalbandian,WinEvent,5,144
Nalbandian,ErrorEvent,5,145
Nalbandian,DoubleEvent,5,13
Nalbandian,AceEvent,5,28
Grosjean,WinEvent,5,155
Grosjean,ErrorEvent,5,137
Grosjean,DoubleEvent,5,9
Grosjean,AceEvent,5,29
Roddick,WinEvent,5,179
Roddick,ErrorEvent,5,129
Roddick,DoubleEvent,5,10
Roddick,AceEvent,5,76
Philippoussis,WinEvent,4,189
Philippoussis,ErrorEvent,4,135
Philippoussis,DoubleEvent,4,14
Philippoussis,AceEvent,4,53
Hewitt,WinEvent,4,93
Hewitt,ErrorEvent,4,122
Hewitt,DoubleEvent,4,13
Hewitt,AceEvent,4,21
Canas,WinEvent,4,124
Canas,ErrorEvent,4,108
Canas,DoubleEvent,4,23
Canas,AceEvent,4,23
Pavel,WinEvent,4,204
Pavel,ErrorEvent,4,115
Pavel,DoubleEvent,4,9
Pavel,AceEvent,4,50
Srichaphan,WinEvent,4,138
Srichaphan,ErrorEvent,4,94
Srichaphan,DoubleEvent,4,12
Srichaphan,AceEvent,4,28
Blake,WinEvent,4,166
Blake,ErrorEvent,4,150
Blake,DoubleEvent,4,11
Blake,AceEvent,4,28
Schalken,WinEvent,4,71
Schalken,ErrorEvent,4,108
Schalken,DoubleEvent,4,11
Schalken,AceEvent,4,7
Ginepri,WinEvent,4,156
Ginepri,ErrorEvent,4,105
Ginepri,DoubleEvent,4,15
Ginepri,AceEvent,4,40
Reid,WinEvent,3,79
Reid,ErrorEvent,3,93
Reid,DoubleEvent,3,7
Reid,AceEvent,3,14
Costa,WinEvent,3,133
Costa,ErrorEvent,3,95
Costa,DoubleEvent,3,12
Costa,AceEvent,3,26
Novak,WinEvent,3,117
Novak,ErrorEvent,3,102
Novak,DoubleEvent,3,8
Novak,AceEvent,3,16
Henman,WinEvent,3,161
Henman,ErrorEvent,3,116
Henman,DoubleEvent,3,16
Henman,AceEvent,3,14
Ferreira,WinEvent,3,133
Ferreira,ErrorEvent,3,127
Ferreira,DoubleEvent,3,2
Ferreira,AceEvent,3,16
Johansson,WinEvent,3,156
Johansson,ErrorEvent,3,104
Johansson,DoubleEvent,3,22
Johansson,AceEvent,3,46
Nadal,WinEvent,3,82
Nadal,ErrorEvent,3,101
Nadal,DoubleEvent,3,10
Nadal,AceEvent,3,6
Ancic,WinEvent,3,143
Ancic,ErrorEvent,3,175
Ancic,DoubleEvent,3,10
Ancic,AceEvent,3,33
Patience,WinEvent,3,82
Patience,ErrorEvent,3,119
Patience,DoubleEvent,3,7
Patience,AceEvent,3,18
Escude,WinEvent,3,118
Escude,ErrorEvent,3,78
Escude,DoubleEvent,3,6
Escude,AceEvent,3,39
Enqvist,WinEvent,3,124
Enqvist,ErrorEvent,3,180
Enqvist,DoubleEvent,3,25
Enqvist,AceEvent,3,23
Martin,WinEvent,3,174
Martin,ErrorEvent,3,110
Martin,DoubleEvent,3,20
Martin,AceEvent,3,47
Kuerten,WinEvent,3,92
Kuerten,ErrorEvent,3,103
Kuerten,DoubleEvent,3,11
Kuerten,AceEvent,3,34
Melzer,WinEvent,3,91
Melzer,ErrorEvent,3,111
Melzer,DoubleEvent,3,14
Melzer,AceEvent,3,18
Hrbaty,WinEvent,3,72
Hrbaty,ErrorEvent,3,97
Hrbaty,DoubleEvent,3,10
Hrbaty,AceEvent,3,8
Dent,WinEvent,3,118
Dent,ErrorEvent,3,122
Dent,DoubleEvent,3,34
Dent,AceEvent,3,21
Saulnier,WinEvent,2,66
Saulnier,ErrorEvent,2,91
Saulnier,DoubleEvent,2,7
Saulnier,AceEvent,2,12
Sargsian,WinEvent,2,79
Sargsian,ErrorEvent,2,72
Sargsian,DoubleEvent,2,3
Sargsian,AceEvent,2,9
Corretja,WinEvent,2,55
Corretja,ErrorEvent,2,80
Corretja,DoubleEvent,2,11
Corretja,AceEvent,2,6
Santoro,WinEvent,2,85
Santoro,ErrorEvent,2,33
Santoro,DoubleEvent,2,5
Santoro,AceEvent,2,26
Ascione,WinEvent,2,80
Ascione,ErrorEvent,2,114
Ascione,DoubleEvent,2,10
Ascione,AceEvent,2,14
Morrison,WinEvent,2,67
Morrison,ErrorEvent,2,40
Morrison,DoubleEvent,2,3
Morrison,AceEvent,2,25
Stepanek,WinEvent,2,93
Stepanek,ErrorEvent,2,92
Stepanek,DoubleEvent,2,8
Stepanek,AceEvent,2,20
