Round,Name
7,Safin
6,Hewitt
5,Roddick
5,Federer
4,Nalbandian
4,Davydenko
4,Agassi
4,Hrbaty
3,Canas
3,Coria
3,Kohlschreiber
3,Nadal
3,Johansson
3,Johansson
3,Rochus
3,Baghdatis
2,Gonzalez
2,Chela
2,Ferrero
2,Stepanek
2,Melzer
2,Lisnard
2,Reynolds
2,Henman
2,Kim
2,Nieminen
2,Gaudio
2,Dent
2,Lopez
2,Beck
2,Robredo
2,Ancic
1,Verdasco
1,Pavel
1,Massu
1,Healey
1,Grosjean
1,Carraz
1,Ventura
1,Hernych
1,Rochus
1,Mello
1,Zabaleta
1,Hanescu
1,Youzhny
1,Andreev
1,Blake
1,Rusedski
1,Wessels
1,Haas
1,Garcia-Lopez
1,Tabara
1,Sargsian
1,Suzuki
1,Fish
1,Phau
1,Calleri
1,Tipsarevic
1,Schuettler
1,Ulihrach
1,Monfils
1,Srichaphan
1,Zib
1,Ljubicic
0,Gemerden
0,Almagro
0,Carlsen
0,Ferrer
0,Volandri
0,Burgsmuller
0,Acasuso
0,Clement
0,Calatrava
0,Saretta
0,Benneteau
0,Arthurs
0,Kimmich
0,Marach
0,Haehnel
0,Bjorkman
0,Karanusic
0,Martin
0,Muller
0,Sluiter
0,Labadze
0,Berdych
0,Saulnier
0,Llodra
0,Mantilla
0,Guccione
0,Dupuis
0,Mathieu
0,Spadea
0,Mutis
0,Mayer
0,Montanes
0,Soderling
0,Gambill
0,Wang
0,Baccanello
0,Luczak
0,Kiefer
0,Sanchez-Munoz
0,Lee
0,Lu
0,Gimelstob
0,Djokovic
0,Karlovic
0,Patience
0,Ginepri
0,Enqvist
0,Starace
0,Mirnyi
0,Serra
0,Sanguinetti
0,Bracciali
0,Hernandez
0,Draper
0,Costa
0,Horna
0,Malisse
0,Monaco
0,Santoro
0,Luzzi
0,Moya
0,Reid
0,Schalken
0,Kindlmann
