Round,Name
7,Federer
6,Baghdatis
5,Kiefer
5,Nalbandian
4,Davydenko
4,Grosjean
4,Santoro
4,Ljubicic
3,Chela
3,Mathieu
3,Haas
3,Hrbaty
3,Ferrer
3,Johansson
3,Roddick
3,Robredo
2,Mirnyi
2,Ferrero
2,Horna
2,Andreev
2,Vliegen
2,Luczak
2,Coria
2,Healey
2,Benneteau
2,Nieminen
2,Ancic
2,Simon
2,Gremelmayr
2,Blake
2,Gaudio
2,Lopez
1,Delic
1,Verdasco
1,Hewitt
1,Sluiter
1,Rochus
1,Phau
1,Goldstein
1,Pashanski
1,Luzzi
1,Norman
1,Monaco
1,Sanguinetti
1,Bogomolov
1,Kim
1,Tipsarevic
1,Mayer
1,Bracciali
1,Ginepri
1,Burgsmuller
1,Kohlschreiber
1,Berdych
1,Malisse
1,Moodie
1,Faurel
1,Wawrinka
1,Tursunov
0,Muller
1,Wang
1,Hernych
1,Pavel
1,Garcia-Lopez
1,Stepanek
0,Lee
0,Marach
0,Volandri
0,Arthurs
0,Seppi
0,Starace
0,Carlsen
0,Istomin
0,Rochus
0,Zib
0,Snobel
0,Djokovic
0,Fleishman
0,Monfils
0,Gasquet
0,Lisnard
0,Minar
0,Adaktusson
0,Almagro
0,Vik
0,Philippoussis
0,Ascione
0,Srichaphan
0,Clement
0,Marin
0,Llodra
0,Murray
0,Berlocq
0,Hanescu
0,Gonzalez
0,Karlovic
0,Levy
0,Schuettler
0,Sabau
0,Behrend
0,Lu
0,Calleri
0,Serra
0,Spadea
0,Waske
0,Melzer
0,Vicente
0,Rehnquist
0,Hernandez
0,Saulnier
0,Dent
0,Vanek
0,Udomchoke
0,Reynolds
0,Henman
0,Zabaleta
0,Acasuso
0,Daniel
0,Dlouhy
0,Montanes
0,Kimmich
0,Bjorkman
0,Guccione
0,Moya
0,Youzhny
0,Lammer
0,Gimelstob
0,Massu
