player_name,type,matches,events
Safin,WinEvent,7,323
Safin,ErrorEvent,7,272
Safin,DoubleEvent,7,7
Safin,AceEvent,7,99
Hewitt,WinEvent,7,291
Hewitt,ErrorEvent,7,243
Hewitt,DoubleEvent,7,34
Hewitt,AceEvent,7,83
Roddick,WinEvent,6,243
Roddick,ErrorEvent,6,137
Roddick,DoubleEvent,6,15
Roddick,AceEvent,6,107
Federer,WinEvent,6,277
Federer,ErrorEvent,6,165
Federer,DoubleEvent,6,14
Federer,AceEvent,6,66
Nalbandian,WinEvent,5,192
Nalbandian,ErrorEvent,5,231
Nalbandian,DoubleEvent,5,20
Nalbandian,AceEvent,5,21
Davydenko,WinEvent,5,155
Davydenko,ErrorEvent,5,162
Davydenko,DoubleEvent,5,15
Davydenko,AceEvent,5,29
Agassi,WinEvent,5,156
Agassi,ErrorEvent,5,83
Agassi,DoubleEvent,5,14
Agassi,AceEvent,5,35
Hrbaty,WinEvent,5,172
Hrbaty,ErrorEvent,5,225
Hrbaty,DoubleEvent,5,22
Hrbaty,AceEvent,5,42
Canas,WinEvent,4,116
Canas,ErrorEvent,4,76
Canas,DoubleEvent,4,13
Canas,AceEvent,4,20
Coria,WinEvent,4,139
Coria,ErrorEvent,4,117
Coria,DoubleEvent,4,12
Coria,AceEvent,4,15
Kohlschreiber,WinEvent,4,94
Kohlschreiber,ErrorEvent,4,92
Kohlschreiber,DoubleEvent,4,7
Kohlschreiber,AceEvent,4,12
Nadal,WinEvent,4,125
Nadal,ErrorEvent,4,116
Nadal,DoubleEvent,4,9
Nadal,AceEvent,4,8
Johansson,WinEvent,4,296
Johansson,ErrorEvent,4,211
Johansson,DoubleEvent,4,21
Johansson,AceEvent,4,127
Johansson,WinEvent,4,188
Johansson,ErrorEvent,4,199
Johansson,DoubleEvent,4,19
Johansson,AceEvent,4,70
Rochus,WinEvent,4,148
Rochus,ErrorEvent,4,132
Rochus,DoubleEvent,4,12
Rochus,AceEvent,4,6
Baghdatis,WinEvent,4,185
Baghdatis,ErrorEvent,4,112
Baghdatis,DoubleEvent,4,9
Baghdatis,AceEvent,4,33
Gonzalez,WinEvent,3,144
Gonzalez,ErrorEvent,3,133
Gonzalez,DoubleEvent,3,20
Gonzalez,AceEvent,3,20
Chela,WinEvent,3,107
Chela,ErrorEvent,3,61
Chela,DoubleEvent,3,5
Chela,AceEvent,3,9
Ferrero,WinEvent,3,73
Ferrero,ErrorEvent,3,92
Ferrero,DoubleEvent,3,5
Ferrero,AceEvent,3,5
Stepanek,WinEvent,3,135
Stepanek,ErrorEvent,3,161
