Round,Name
7,Federer
6,Gonzalez
5,Haas
5,Roddick
4,Davydenko
4,Nadal
4,Robredo
4,Fish
3,Nalbandian
3,Berdych
3,Blake
3,Murray
3,Gasquet
3,Ferrer
3,Djokovic
3,Ancic
2,Mayer
2,Tursunov
2,Ginepri
2,Grosjean
2,Santoro
2,Wawrinka
2,Hewitt
2,Chela
2,Udomchoke
2,Safin
2,Arthurs
2,Stepanek
2,Hrbaty
2,Monfils
1,Youzhny
2,Querrey
1,Bozoljac
1,Rochus
1,Dancevic
1,Clement
1,Nieminen
1,Kohlschreiber
1,Zverev
1,Mirnyi
1,Muller
1,Lapentti
1,Seppi
1,Kuznetsov
1,Potro
1,Verdasco
1,Capdeville
1,Smeets
1,Dlouhy
1,Baghdatis
1,Lopez
1,Johansson
1,Lu
1,Melzer
1,Mahut
1,Gicquel
1,Fleishman
1,Garcia-Lopez
1,Bjorkman
1,Sela
1,Spadea
1,Delic
1,Serra
1,Ferrero
0,Luczak
0,Moya
0,Guccione
0,Mackin
0,Rochus
0,Berrer
0,Martin
0,Korolev
0,Lacko
0,Goldstein
0,Reynolds
0,Vliegen
0,Kendrick
0,Gaudio
0,Horna
0,Montanes
0,Mathieu
0,Russell
0,Hanescu
0,Benneteau
0,Soderling
0,Starace
0,Lee
0,Tipsarevic
0,Waske
0,Kunitsyn
0,Cilic
0,Almagro
0,Roitman
0,Kim
0,Mauro
0,Malisse
0,Andreev
0,Koubek
0,Patience
0,Monaco
0,Chiudinelli
0,Vanek
0,Becker
0,Calleri
0,Arguello
0,Soeda
0,Wilson
0,Karlovic
0,Greul
0,Pless
0,Schuettler
0,Tsonga
0,Phau
0,Hajek
0,Massu
0,Jones
0,Gabashvili
0,Ljubicic
0,Llodra
0,Devilder
0,Acasuso
0,Bracciali
0,Simon
0,Srichaphan
0,Johansson
0,Volandri
0,Ramirez-Hidalgo
