Round,Name
7,Djokovic
6,Murray
5,Federer
5,Ferrer
4,Chardy
4,Tsonga
4,Berdych
4,Almagro
3,Raonic
3,Seppi
3,Gasquet
3,Simon
3,Nishikori
3,Anderson
3,Tipsarevic
3,Wawrinka
2,Monfils
2,Tomic
2,Kohlschreiber
2,Cilic
2,Kavcic
2,Dodig
2,Potro
2,Berankis
2,Melzer
2,Baghdatis
2,Querrey
2,Stepanek
2,Verdasco
2,Donskoy
2,Benneteau
2,Janowicz
1,Lu
1,Ram
1,Nieminen
1,Duckworth
1,Granollers
1,Mayer
1,Rosol
1,Brands
1,Levine
1,Sousa
1,Becker
1,Weintraub
1,Soeda
1,Davydenko
1,Falla
1,Istomin
1,Berlocq
1,Rufin
1,Smyczek
1,Roger-Vasselin
1,Bautista-Agut
1,Lopez
1,Kamke
1,Ito
1,Baker
0,Youzhny
1,Devvarman
1,Kuznetsov
1,Harrison
1,Lacko
1,Malisse
1,Gimeno-Traver
0,Mitchell
0,Mayer
0,Pella
0,Robredo
0,Menendez-Maceiras
0,Mannarino
0,Klizan
0,Matosevic
0,Dolgopolov
0,Wu
0,Baker
0,Volandri
0,Llodra
0,Bedene
0,Hajek
0,Saville
0,Sijsling
0,Haase
0,Zeballos
0,Bellucci
0,Smith
0,Paire
0,Haas
0,Sela
0,Montanes
0,Darcis
0,Ramirez-Hidalgo
0,Williams
0,Zemlja
0,Garcia-Lopez
0,Ouanna
0,Stakhovsky
0,Cipolla
0,Ramos
0,Johnson
0,Nava
0,Phau
0,Muller
0,Mathieu
0,Karlovic
0,Lorenzi
0,Millman
0,Ungur
0,Bolelli
0,Giraldo
0,Troicki
0,Monaco
0,Fognini
0,Bemelmans
0,Hanescu
0,Dimitrov
0,Andujar
0,Hewitt
0,Rochus
0,Goffin
0,Kukushkin
0,Brugues-Davi
0,Bogomolov
0,Stebe
0,Authom
0,Kubot
0,Russell
0,Reister
